Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,week,time,unscathed,killed,hospital,light
201600000250,16,7,3,1530,1,1,1,2,5090452,168739,3,2,2,0,1,1,0,0,1,0,1,99,146,7,15.0,2405,344,1994,1818
201600000251,16,7,16,1930,1,1,1,5,5082368,169693,4,2,2,0,0,1,0,0,1,0,3,0,142,6,19.0,2611,355,2173,1982
201600000252,16,9,3,1330,1,1,1,3,5082898,175530,3,2,2,0,1,3,0,63,1,5,1,0,142,6,13.0,1295,126,976,889
201600000255,16,4,17,1400,1,1,1,5,5063543,164473,3,2,2,0,0,0,0,79,1,0,0,99,120,7,14.0,753,111,692,653
201600000256,16,12,12,2030,3,1,1,1,5060794,163243,3,2,0,0,2,1,0,75,2,0,1,0,173,1,20.0,1036,104,642,804
201600000258,16,5,4,1945,1,3,7,1,5040504,263190,3,2,2,0,1,1,0,60,1,0,1,99,204,3,19.0,2073,210,1237,1578
201600000259,16,5,5,1030,1,1,7,7,5043770,255002,4,2,2,0,2,1,0,59,1,0,1,99,168,4,10.0,1273,112,754,986
201600000261,16,7,28,1730,1,1,1,3,5042766,256116,3,2,2,0,1,1,0,68,1,0,1,99,130,4,17.0,3471,320,2079,2546
201600000262,16,10,9,345,5,1,1,3,5040897,264217,4,2,2,0,1,1,0,49,1,0,1,99,148,7,3.0,615,87,571,464
201600000263,16,10,12,845,1,1,1,6,5045134,263813,3,3,2,1,1,1,30,34,1,0,1,99,176,3,8.0,2048,185,1257,1593
201600000266,16,9,21,2045,3,1,1,6,5046792,172762,3,2,2,0,1,1,0,60,1,0,1,0,171,3,20.0,1519,165,935,1114
201600000271,16,10,31,1430,1,1,1,6,5051284,163617,3,2,0,0,1,1,0,0,1,0,4,0,152,1,14.0,2014,202,1273,1533
201600000272,16,1,31,1645,1,1,2,1,5038209,198640,3,2,0,0,1,3,0,0,2,0,1,0,165,7,16.0,2470,370,2124,2135
201600000275,16,3,4,845,1,1,1,6,5066079,235111,3,2,0,0,2,1,0,0,1,0,1,99,176,5,8.0,1872,223,1111,1486
201600000276,16,4,26,2030,1,1,1,6,5063352,233458,3,2,0,0,1,3,0,60,1,0,1,0,115,2,20.0,1108,103,667,889
201600000280,16,12,13,1730,3,1,1,1,5067508,226861,3,2,2,0,2,1,22,80,2,0,1,99,189,2,17.0,4265,367,2482,3220
201600000283,16,1,14,1100,1,2,1,3,5098005,205705,3,2,0,0,1,1,0,0,1,5,1,99,196,4,11.0,1194,128,724,946
201600000284,16,2,13,1530,1,1,2,6,5087464,208359,3,2,2,0,1,1,0,0,2,4,3,0,141,6,15.0,3316,394,2396,2782
201600000287,16,11,16,1330,1,1,1,3,5083753,201821,3,2,0,0,1,1,0,0,1,0,1,0,160,3,13.0,1615,150,973,1190
201600000289,16,5,16,600,2,1,1,6,5058827,224959,3,2,0,0,1,2,0,62,1,0,1,0,130,1,6.0,656,78,476,543
201600000290,16,9,11,930,1,1,1,6,5064576,211773,3,2,2,0,1,1,0,71,1,0,3,99,138,7,9.0,1096,185,998,915
201600000291,16,7,10,1715,1,1,1,5,5072698,191392,2,2,2,0,1,2,0,70,1,0,1,0,164,7,17.0,2469,349,2190,2024
201600000295,16,4,13,1645,1,1,1,2,5038327,232433,3,2,2,0,1,1,0,60,1,0,1,0,142,3,16.0,3459,283,1977,2461
201600000296,16,4,16,200,5,1,1,1,5038117,233574,3,2,2,0,2,2,0,70,0,0,1,99,142,6,2.0,844,119,588,652
201600000300,16,7,8,1230,1,1,1,3,5043041,217241,3,2,2,0,1,1,0,67,1,0,1,99,197,5,12.0,1799,179,1236,1298
201600000301,16,7,29,1300,1,1,1,1,5036494,238799,3,2,0,0,0,2,0,76,1,0,1,0,146,5,13.0,1784,186,1089,1497
201600000307,16,11,1,1815,2,1,1,3,5038686,224794,3,0,4,0,0,1,0,185,1,0,1,99,124,2,18.0,3142,263,1708,2369
201600000311,16,2,27,1615,1,1,1,7,5025907,249070,3,2,2,0,1,1,0,60,1,0,1,0,139,6,16.0,3127,389,2262,2359
201600000314,16,7,31,845,1,2,1,1,5038909,262265,3,2,2,0,1,1,0,80,1,5,1,99,129,7,8.0,573,86,481,435
201600000318,16,12,2,1930,5,1,8,3,5020516,253364,3,2,0,0,0,1,70,0,2,0,1,0,205,5,19.0,3443,344,2186,2578
201600000319,16,12,29,45,3,1,5,6,5028724,253958,3,2,2,0,0,1,0,62,2,0,3,99,97,4,0.0,156,13,71,136
