Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,unscathed,killed,hospital,light,week,time
201400000212,14,10,4,800,1,1,1,7,5018156,299357,3,2,2,0,1,3,0,60,1,0,3,99,94,64,8,42,44,6,8.0
201400000213,14,10,28,745,2,1,1,1,5016895,282398,3,2,2,0,4,2,0,76,1,0,1,0,66,46,4,20,42,2,7.0
201400000214,14,12,3,1715,2,1,1,3,5027862,281997,3,2,2,0,1,1,46,64,1,5,1,99,71,49,1,23,47,3,17.0
201400000215,14,12,24,1530,1,1,2,7,5023298,305980,3,2,2,0,0,1,0,54,2,0,3,99,74,39,7,31,36,3,15.0
201400000216,14,9,2,1715,1,6,1,3,5033366,292402,3,0,2,0,1,0,0,0,1,5,1,99,86,51,5,29,52,2,17.0
201400000217,14,10,15,945,1,4,1,3,5033344,302159,3,2,2,0,1,1,0,50,1,0,1,0,64,46,3,27,34,3,9.0
201400000220,14,3,30,930,1,7,1,6,5061653,233160,4,0,0,0,1,0,0,0,1,0,1,99,67,33,7,21,39,7,9.0
201400000221,14,5,29,1500,1,1,1,3,5062145,245511,3,2,2,0,1,1,0,70,1,0,1,99,60,41,2,29,29,4,15.0
201400000222,14,10,27,1730,2,1,1,3,5057010,243624,4,2,2,0,1,1,0,67,1,0,1,0,68,37,7,28,33,1,17.0
201400000223,14,1,18,1230,1,1,8,7,5063559,280002,3,2,2,0,1,1,0,60,2,0,3,0,86,82,6,24,56,6,12.0
201400000224,14,2,21,1845,4,1,1,6,5057630,278025,3,2,2,0,1,0,0,52,1,0,1,0,94,62,8,32,54,5,18.0
201400000225,14,3,21,1045,1,1,2,7,5063944,281378,3,2,2,0,1,1,0,56,2,0,1,99,85,46,0,33,52,5,10.0
201400000226,14,3,23,30,5,1,1,6,5058344,276900,3,2,2,0,1,1,0,67,1,0,3,99,81,44,7,36,38,7,0.0
201400000227,14,5,5,1330,1,1,1,6,5057239,274478,3,2,0,0,1,1,0,72,1,0,1,3,79,38,6,32,41,1,13.0
201400000228,14,5,14,2000,1,1,1,3,5058585,276728,3,2,2,0,1,1,0,69,1,0,1,0,77,53,7,37,33,3,20.0
201400000229,14,5,17,1815,1,3,1,6,5034693,284869,3,2,2,0,1,0,0,57,0,0,0,0,108,63,10,50,48,6,18.0
201400000230,14,5,21,1845,1,1,1,3,5059933,275701,3,2,0,0,1,1,0,60,1,0,1,0,64,57,4,23,37,3,18.0
201400000231,14,6,25,745,1,1,1,2,5062759,282122,3,2,2,0,1,1,0,73,1,0,1,0,108,73,5,31,72,3,7.0
201400000232,14,8,6,700,2,1,2,3,5065039,283039,3,2,2,0,1,1,0,0,2,0,1,99,97,68,5,40,52,3,7.0
201400000233,14,9,20,1230,1,1,1,1,5063022,279958,3,2,2,0,0,4,0,0,9,0,1,99,90,48,4,46,40,6,12.0
201400000234,14,11,7,1630,1,1,8,6,5063907,281245,4,2,2,0,1,1,58,0,1,0,4,0,99,60,5,37,57,5,16.0
201400000235,14,12,9,1730,3,1,1,6,5056183,271256,3,2,2,0,1,1,60,0,1,0,1,99,96,63,11,36,49,2,17.0
201400000237,14,7,4,1000,1,1,1,7,5069877,185874,3,2,2,0,1,2,0,50,1,0,1,0,125,89,10,55,60,5,10.0
201400000238,14,8,10,545,5,1,1,6,5072083,169907,3,2,2,0,0,0,0,0,1,0,3,0,98,46,3,37,58,7,5.0
201400000239,14,8,23,200,3,1,1,6,5071147,174970,3,2,2,0,1,3,60,0,1,0,1,0,106,82,4,48,54,6,2.0
201400000240,14,9,8,1745,1,1,1,6,5066936,182961,3,2,0,0,2,3,0,0,1,0,4,0,78,49,4,33,41,1,17.0
201400000241,14,9,12,1915,1,2,1,3,5069911,194490,3,2,1,0,1,1,60,0,1,0,1,0,115,87,4,54,57,5,19.0
201400000242,14,10,12,2215,3,1,3,7,5067755,180438,3,2,2,0,2,1,0,68,2,0,1,0,68,42,5,37,26,7,22.0
201400000243,14,12,13,1330,1,3,1,3,5066790,183894,3,2,2,0,1,1,0,0,1,0,1,0,86,47,5,41,40,6,13.0
201400000244,14,12,20,1045,1,1,1,6,5064214,174218,3,1,2,0,1,1,0,52,1,0,1,0,70,47,3,39,28,6,10.0
201400000247,14,2,3,1945,3,1,1,6,5076503,185662,4,2,2,0,2,2,0,38,1,0,0,99,71,50,7,26,38,1,19.0
201400000248,14,4,8,1645,1,1,1,6,5046196,267143,4,2,2,0,1,1,0,69,1,0,1,99,75,45,3,28,44,2,16.0
201400000250,14,11,30,1845,5,1,1,3,5044617,265777,3,2,2,0,1,1,0,74,2,0,1,0,59,40,8,14,37,7,18.0
201400000251,14,6,14,430,3,1,1,7,5052925,190206,3,2,2,0,1,2,0,74,1,0,1,0,99,68,3,39,57,6,4.0
201400000252,14,10,19,1630,1,1,1,1,5056723,194912,3,2,2,0,2,1,0,56,1,0,1,99,101,53,9,44,48,7,16.0
201400000253,14,11,8,1415,1,1,1,1,5052671,180331,4,2,2,0,2,2,0,31,1,0,1,0,120,69,7,59,54,6,14.0
201400000254,14,7,14,945,1,1,1,1,5056304,169822,4,2,2,0,1,1,0,52,1,5,1,0,55,42,3,32,20,1,9.0
201400000255,14,7,19,1100,1,1,1,6,5054032,162256,3,2,2,1,1,1,0,75,1,0,1,0,95,53,8,49,38,6,11.0
201400000256,14,9,13,915,1,1,1,3,5051954,165292,4,2,1,0,2,1,0,0,1,0,1,0,90,69,4,41,45,6,9.0
201400000257,14,9,18,1315,1,6,1,6,5051336,163665,3,2,3,0,0,0,0,0,1,5,1,0,99,83,3,36,60,4,13.0
201400000258,14,11,3,1045,1,2,3,3,5052263,163913,4,1,2,0,2,1,0,0,2,0,1,3,75,51,1,28,46,1,10.0
201400000259,14,11,28,815,1,1,1,6,5055667,161307,3,2,2,1,0,1,0,0,2,2,5,99,86,58,1,25,60,5,8.0
201400000260,14,12,7,1345,1,1,3,7,5056838,172546,3,2,2,0,0,1,0,55,2,0,1,0,68,28,6,24,38,7,13.0
201400000261,14,2,4,2115,5,1,1,1,5037383,204253,3,2,3,0,1,1,0,0,1,0,1,99,95,62,4,31,60,2,21.0
201400000262,14,4,17,1045,1,6,1,3,5037148,202918,3,2,0,0,1,1,0,56,1,5,1,99,77,51,5,24,48,4,10.0
201400000263,14,4,16,445,3,1,1,6,5036721,203133,3,3,0,0,1,1,0,0,1,0,1,99,97,74,10,35,52,3,4.0
201400000264,14,5,26,1745,1,1,2,3,5041117,192149,3,2,0,0,1,1,0,52,2,0,1,0,76,56,4,37,35,1,17.0
201400000266,14,7,12,1645,1,1,1,7,5036069,204663,3,2,0,0,0,1,0,70,1,0,1,0,88,53,6,34,48,6,16.0
201400000267,14,8,29,2300,3,1,1,6,5047957,185851,3,2,2,0,4,3,0,52,1,0,1,0,97,67,9,46,42,5,23.0
201400000268,14,9,29,1415,1,1,1,6,5040753,177280,3,2,1,0,1,3,0,52,1,0,1,99,87,48,4,35,48,1,14.0
201400000270,14,10,17,2315,3,1,1,1,5038365,198325,3,2,2,0,0,3,70,0,1,0,1,0,117,74,11,51,55,5,23.0
201400000271,14,5,23,1745,1,1,1,6,5063711,224449,3,2,2,0,1,1,0,68,1,0,1,0,128,64,6,42,80,5,17.0
201400000273,14,6,22,1200,1,1,1,3,5064909,238979,3,0,2,0,1,3,0,61,1,0,1,99,93,59,13,43,37,7,12.0
