Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
200600072498,6,11,27,1815,5,2,1,1,1,149,4375100,732200,60,3,2,2,0,1,2,0,77,1,0,1,0,1
200600072500,6,11,1,1130,1,1,1,1,1,161,4365300,713400,60,3,2,2,0,1,1,0,0,1,0,1,0,0
200600072506,6,11,7,1,1,2,1,1,6,157,4372900,711000,60,4,0,0,0,0,0,0,25,1,5,1,0,0
200600072509,6,11,17,1830,3,1,1,1,3,128,4368000,712900,60,3,2,0,0,1,1,0,150,1,0,1,0,0
200600072520,6,11,4,1500,1,1,1,1,1,4,4345900,651000,830,2,2,2,0,3,3,21,69,1,2,1,0,1
200600072521,6,11,9,1630,1,1,1,1,6,148,4341000,641600,830,9,2,2,0,1,1,0,46,1,0,1,0,0
200600072522,6,11,13,1630,1,1,1,1,3,4,4344000,644700,830,2,2,3,0,2,1,0,98,1,0,1,0,0
200600072531,6,11,14,1745,3,1,1,1,3,31,4336500,639000,830,3,2,2,0,2,3,0,68,1,0,1,0,0
200600072538,6,11,13,1630,1,2,1,1,5,116,4345100,586000,830,4,2,2,0,1,1,0,80,1,0,1,0,0
200600072540,6,11,30,1400,1,1,1,1,7,21,4346200,596800,830,3,2,2,0,1,1,0,43,1,0,1,0,1
200600072543,6,11,11,1200,1,1,1,1,1,107,4345100,662700,830,3,0,0,1,0,2,0,0,1,0,5,0,1
200600072549,6,11,1,1000,1,1,1,1,1,91,4324000,622400,830,3,2,2,0,1,1,0,58,1,0,1,0,0
200600072562,6,11,14,1830,5,2,1,1,6,3,4388100,539300,840,2,2,0,0,0,1,0,70,1,0,1,0,0
200600072566,6,11,1,30,3,1,1,2,6,123,4410500,541100,840,3,2,1,0,1,4,0,0,2,0,1,0,0
200600072574,6,11,9,1815,5,1,1,1,1,67,4392900,370400,340,3,2,2,0,0,0,0,60,1,0,1,0,0
200600072579,6,11,26,1100,1,2,1,1,1,78,4386600,390600,340,3,2,2,0,1,2,0,77,1,0,1,0,0
200600072582,6,11,4,1330,1,1,2,1,1,140,4337700,318300,340,3,2,2,0,1,1,0,58,1,0,1,0,0
200600072583,6,11,9,1745,5,2,1,1,6,178,4344000,314600,340,3,2,2,0,1,1,0,70,1,0,1,0,0
200600072585,6,11,4,815,1,2,1,1,1,199,4346600,341900,340,3,0,0,0,1,3,0,70,1,0,0,0,0
200600072587,6,11,6,1515,1,1,1,1,6,325,4342800,336700,340,2,2,2,3,1,1,0,105,1,0,3,0,1
200600072588,6,11,14,2245,3,1,1,1,6,325,4343100,337000,340,3,2,2,0,2,2,210,160,1,0,1,0,0
200600072589,6,11,17,2100,3,1,1,1,1,162,4348600,348400,340,3,2,0,0,2,3,0,80,1,0,1,0,0
200600072591,6,11,7,1810,3,1,1,1,2,300,4341400,331100,340,3,2,0,0,1,1,0,65,1,0,1,0,1
200600072592,6,11,10,830,1,2,1,1,2,94,4344500,326400,340,3,2,0,0,1,1,0,60,1,0,1,0,0
200600072594,6,11,18,1745,1,1,1,1,1,209,4331900,336200,340,3,2,2,0,1,1,16,110,1,5,1,0,0
200600072595,6,11,30,1430,1,1,1,1,7,299,4328600,331000,340,3,2,0,0,1,3,80,0,1,0,0,0,0
200600072597,6,11,5,1845,3,1,1,1,5,47,4354900,348600,340,3,2,2,0,1,1,0,60,1,0,1,0,0
200600072598,6,11,8,630,3,1,1,1,1,210,4359200,350900,340,3,2,2,0,0,1,0,79,1,0,1,0,0
200600072599,6,11,23,845,1,1,1,1,6,175,4361300,330400,340,3,2,2,0,2,2,35,75,2,0,1,0,0
200600072603,6,11,10,1830,5,2,1,1,3,31,4336400,342500,340,9,2,2,0,1,1,0,78,1,0,1,0,0
200600072605,6,11,1,1815,3,1,1,1,6,213,4350700,366600,340,3,0,0,0,0,0,0,0,0,0,0,0,0
200600072606,6,11,14,700,2,1,1,1,1,213,4347700,368400,340,3,3,2,0,1,1,27,118,1,3,1,0,1
200600072607,6,11,24,2230,3,1,1,1,6,84,4323900,225700,110,3,2,2,0,2,1,0,61,1,0,3,0,0
200600072609,6,11,17,645,3,1,2,1,3,433,4331400,249300,110,3,0,2,0,1,1,0,50,1,5,1,0,0
200600072611,6,11,17,2030,3,1,1,1,6,344,4310900,232000,110,3,2,2,0,1,2,0,0,1,0,3,0,0
200600072613,6,11,18,1345,1,1,1,1,1,304,4288400,217200,110,3,2,2,0,2,2,0,65,1,0,1,0,1
200600072622,6,11,11,1800,3,1,1,1,3,6,4368300,421100,300,2,2,2,0,1,1,0,60,1,0,1,0,0
200600072623,6,11,20,900,2,1,1,1,3,36,4377700,428400,300,2,2,2,0,1,0,0,70,1,5,1,0,0
