Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
201600000323,16,9,27,1700,1,2,1,1,3,732,4989177,171651,800,3,2,1,0,1,2,0,70,1,0,1,0,0
201600000324,16,9,29,1415,1,2,1,1,6,554,4988409,201978,800,3,2,1,0,1,1,0,70,1,5,1,0,0
201600000325,16,5,13,1800,1,1,1,1,6,798,5000521,233710,800,3,2,2,0,0,3,0,60,1,0,3,0,0
201600000326,16,8,31,1630,1,1,1,1,1,385,5012513,180144,800,3,2,2,0,1,1,0,0,1,3,1,99,0
201600000327,16,2,23,2130,3,1,1,5,6,110,5017462,168118,800,3,2,2,0,1,3,0,70,1,0,3,99,0
201600000328,16,4,12,1630,1,1,1,1,1,618,5017968,158727,800,3,2,2,0,1,1,0,65,1,0,1,99,0
201600000329,16,6,25,1500,1,2,2,1,3,287,5015432,160979,800,4,2,0,0,0,1,0,60,1,0,1,0,0
201600000330,16,8,2,1230,1,1,8,2,3,721,5017586,162009,800,4,2,2,0,1,1,0,50,2,4,3,99,0
201600000331,16,10,29,915,1,1,1,8,1,110,5017220,165806,800,5,2,1,2,1,2,0,25,1,2,5,99,0
201600000332,16,8,27,1400,1,2,1,1,3,776,5005199,253259,800,3,2,2,0,1,1,0,0,1,0,1,0,0
201600000333,16,7,3,2300,5,2,1,1,6,711,5004160,211683,800,3,0,2,0,0,0,0,0,0,0,0,0,0
201600000334,16,1,8,900,1,2,1,1,6,523,4998335,267334,800,3,2,2,0,1,1,72,0,1,0,1,0,0
201600000335,16,1,14,815,5,2,1,3,6,523,4998436,267231,800,3,3,0,1,2,1,0,0,2,6,1,0,0
201600000336,16,1,22,1815,5,2,1,2,3,16,5000676,266285,800,4,2,2,0,1,1,67,0,2,0,1,0,0
201600000337,16,2,26,1945,5,2,1,1,7,16,5000097,264145,800,4,2,0,0,2,1,0,71,1,0,1,0,0
201600000338,16,3,16,1715,1,2,1,1,3,16,5000333,263998,800,4,2,0,0,4,1,0,67,1,0,1,0,0
201600000339,16,4,19,1230,1,1,1,1,6,540,5004205,265794,800,3,2,2,0,1,1,0,0,1,0,1,99,0
201600000340,16,5,11,1200,1,2,1,1,3,16,5000603,266139,800,4,2,0,0,1,1,0,0,1,0,1,99,0
201600000341,16,5,24,1415,1,2,1,1,6,16,5000430,265699,800,4,3,2,0,1,1,0,0,1,0,1,99,0
201600000342,16,5,25,2300,5,2,6,1,3,523,4999323,265726,800,4,0,0,0,0,0,0,0,0,0,0,0,0
201600000343,16,6,10,1900,2,1,1,1,6,384,5006687,269867,800,3,2,2,0,2,2,57,0,1,0,3,0,0
201600000344,16,8,28,1145,1,1,1,1,3,47,5003458,266614,800,3,2,2,0,2,3,0,0,1,0,1,99,0
201600000345,16,10,14,1745,1,1,1,2,7,366,5001007,271405,800,3,2,2,0,1,3,0,55,2,0,3,99,0
201600000346,16,12,31,2030,3,1,1,5,6,547,4999964,259458,800,3,2,2,0,1,0,0,0,7,0,3,99,0
201600000348,16,2,19,1645,1,2,1,1,2,128,4952477,366483,20,4,2,2,0,1,1,0,0,1,0,1,3,1
201600000362,16,2,15,1245,1,1,1,1,1,111,4951246,343000,20,4,2,2,0,3,3,33,0,1,0,1,99,1
201600000363,16,2,19,1845,5,2,1,1,6,602,4948930,344609,20,3,2,2,0,1,1,0,70,1,0,1,99,0
201600000381,16,11,17,1830,1,2,3,1,6,305,4919971,351393,20,3,2,2,0,0,1,0,0,1,0,1,99,0
201600000386,16,3,3,1700,1,2,3,2,1,95,4998223,345277,20,3,2,2,0,2,1,0,60,2,0,1,99,0
201600000389,16,9,23,2345,5,2,1,1,6,370,4996356,318734,20,3,2,2,0,2,1,60,0,1,0,4,99,0
201600000403,16,11,19,600,3,2,1,1,6,71,4941023,313601,20,3,2,2,0,1,1,0,120,1,0,4,99,0
201600000404,16,2,22,915,1,2,4,1,2,758,4940835,351107,20,3,2,2,0,1,1,0,0,1,0,1,99,0
201600000411,16,4,18,815,1,2,1,1,6,810,4925664,308494,20,3,2,2,0,1,1,0,0,1,0,1,3,0
201600000412,16,5,1,1445,1,2,1,1,3,307,4917802,312734,20,3,2,2,0,1,1,0,59,1,0,1,99,0
201600000418,16,3,27,1630,1,1,1,2,7,295,4987574,392647,20,4,2,2,0,0,1,0,0,1,0,3,99,0
201600000424,16,7,24,15,3,2,3,1,6,830,5000809,360745,20,3,2,2,0,1,2,0,54,1,0,1,99,1
201600000425,16,10,29,1700,1,2,3,1,3,298,4999326,365588,20,3,2,2,0,1,1,0,0,1,0,1,99,0
201600000427,16,6,4,1945,1,2,3,1,3,391,4980455,405527,20,3,2,2,0,0,1,50,50,0,0,1,99,0
201600000429,16,8,4,1630,1,2,1,1,6,381,4993046,407422,20,3,2,2,0,2,1,90,0,1,0,1,99,0
201600000430,16,10,18,1415,1,2,9,1,6,381,4993078,407934,20,4,2,2,0,2,1,0,0,1,0,1,3,0
201600000432,16,12,3,500,5,2,3,1,6,381,4992523,407698,20,3,2,2,0,0,0,0,0,0,0,1,99,0
201600000433,16,2,2,1600,1,1,1,1,3,251,4945950,221257,600,3,2,2,0,0,1,0,0,1,0,1,0,0
201600000434,16,2,26,2315,3,1,1,1,7,41,4938216,225041,600,3,2,2,0,1,1,0,0,1,0,4,0,1
201600000435,16,4,21,1845,1,1,1,1,7,9,4939390,209918,600,3,2,2,0,1,3,0,0,1,0,3,99,0
201600000436,16,5,3,1830,1,1,1,1,7,251,4945146,221728,600,3,2,2,0,1,1,0,0,1,0,3,0,0
201600000437,16,6,9,1230,1,1,1,1,2,428,4945598,202141,600,3,0,2,0,1,1,60,0,1,0,1,99,1
201600000438,16,6,9,1615,1,2,1,1,2,628,4942011,215253,600,4,2,2,0,2,1,0,0,1,0,1,99,0
201600000439,16,6,10,2330,3,1,1,1,1,9,4939538,210152,600,3,2,0,0,2,1,0,68,1,0,1,0,1
201600000440,16,8,9,745,1,1,1,1,1,668,4950423,208662,600,3,2,2,0,1,1,0,0,0,0,0,0,0
201600000441,16,8,11,400,3,1,1,1,6,703,4940763,205076,600,3,2,2,0,0,2,0,0,1,0,3,99,0
201600000442,16,8,19,2215,5,2,6,1,7,41,4938030,223058,600,3,2,2,0,0,1,0,0,1,5,1,99,0
201600000443,16,8,18,2315,3,1,1,1,2,628,4942431,214392,600,2,3,4,0,0,1,0,0,1,0,2,99,0
201600000444,16,8,28,1645,1,1,6,1,7,9,4940057,213181,600,3,3,0,0,0,1,0,0,1,0,4,0,0
201600000445,16,9,23,815,2,2,1,5,3,703,4940642,204381,600,3,2,2,0,1,1,0,0,1,0,1,99,0
201600000446,16,10,2,1245,1,1,1,1,6,9,4939427,209935,600,3,2,0,0,1,3,0,60,1,0,1,99,1
201600000447,16,11,26,530,3,1,1,2,2,480,4950670,217031,600,3,2,2,0,1,1,0,60,6,0,1,99,0
201600000448,16,12,23,1745,3,1,1,2,5,63,4935502,203529,600,3,2,0,0,4,4,0,0,2,0,1,99,1
201600000449,16,3,19,2115,1,1,1,1,2,211,4930232,177787,600,3,0,0,0,0,0,0,0,0,0,0,0,1
201600000450,16,4,1,2200,3,1,1,1,1,97,4933132,190702,600,3,2,0,0,1,1,70,0,2,0,1,0,1
201600000451,16,5,28,1400,1,1,1,2,3,690,4932030,180463,600,3,2,0,0,1,1,0,40,2,0,1,99,1
201600000452,16,5,30,900,1,1,1,2,1,645,4928096,185130,600,3,2,2,0,0,2,0,75,2,0,1,99,0
201600000453,16,7,21,1700,1,1,1,1,6,143,4926198,188013,600,3,2,0,0,0,3,0,0,1,0,3,99,0
201600000454,16,9,10,1900,1,1,1,1,5,363,4918520,188426,600,3,0,0,0,0,1,0,0,1,0,1,99,0
201600000455,16,9,18,1830,1,1,1,1,1,644,4928808,179115,600,4,2,0,0,0,2,0,55,1,0,0,99,0
201600000456,16,3,8,1115,1,2,1,1,6,286,4966905,194947,600,3,0,2,0,1,1,0,60,1,0,1,99,0
201600000457,16,12,27,2015,3,1,1,1,6,194,4970641,196374,600,3,2,2,0,0,1,0,65,2,0,1,99,0
201600000458,16,1,14,800,2,2,1,2,6,462,4932150,220204,600,3,2,1,0,0,1,0,95,2,0,1,99,0
201600000459,16,5,19,1815,1,1,1,1,3,504,4934970,218345,600,3,3,4,0,1,1,0,0,1,0,1,99,0
201600000460,16,6,6,930,1,1,1,1,1,462,4932837,221016,600,3,0,0,0,0,0,0,0,0,0,0,0,1
201600000461,16,7,30,1915,1,2,1,1,3,65,4935843,222217,600,3,2,2,0,3,0,0,0,1,0,1,0,0
201600000462,16,8,26,1115,1,1,1,1,1,135,4931584,225231,600,4,2,2,0,1,3,0,30,1,0,1,99,0
201600000463,16,10,2,1900,2,2,1,1,7,700,4938643,214547,600,3,2,2,0,1,1,29,82,1,0,1,0,0
201600000464,16,11,28,1330,1,2,1,1,6,462,4932920,220050,600,3,0,0,0,3,0,0,86,1,0,1,99,0
201600000465,16,12,15,1445,1,2,1,1,6,462,4933047,219974,600,3,2,3,0,1,1,0,97,1,6,1,0,0
201600000466,16,1,14,1030,1,1,1,2,7,234,4938619,242812,600,2,3,2,0,1,1,10,60,2,0,3,99,0
201600000467,16,3,7,800,1,2,1,8,6,157,4937885,241337,600,3,2,2,0,2,1,0,0,1,0,1,0,0
201600000468,16,5,15,1230,1,1,1,1,7,454,4938286,232219,600,3,2,0,0,1,1,76,0,1,0,3,99,0
